City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,katsuura,35.1333,140.3,24.67,78,71,4.23,JP,1689976434
83,sucua,-2.4667,-78.1667,24.41,78,40,3.09,EC,1689976652
84,luwuk,-0.9516,122.7875,24.21,88,45,2.27,ID,1689976652
85,tura,25.5198,90.2201,23.74,98,100,2.13,IN,1689976065
86,tiksi,71.6872,128.8694,9.43,59,30,4.06,RU,1689976653
87,talnakh,69.4865,88.3972,18.45,75,100,2.53,RU,1689975919
88,newman,37.3138,-121.0208,39.19,6,0,3.75,US,1689976653
89,puerto aysen,-45.4,-72.7,4.88,100,100,2.05,CL,1689976653
90,beolgyo,34.8449,127.3429,23.16,87,58,3.68,KR,1689976654
91,ilulissat,69.2167,-51.1,4.29,94,100,3.0,GL,1689976654
92,choyr,46.3611,108.3611,14.96,71,99,3.24,MN,1689976654
93,arraial do cabo,-22.9661,-42.0278,21.92,73,40,6.17,BR,1689976065
94,anadyr,64.75,177.4833,18.28,77,40,2.0,RU,1689976654
95,kapa'a,22.0752,-159.319,29.18,77,100,6.69,US,1689976070
96,anahuac,27.2333,-100.15,40.45,17,0,6.28,MX,1689976655
97,enewetak,11.3474,162.3373,28.62,78,90,7.06,MH,1689976655
98,murzuq,25.9155,13.9184,31.52,16,0,3.68,LY,1689976075
99,nogliki,51.8333,143.1667,18.01,86,100,2.8,RU,1689976328
100,kapuskasing,49.4169,-82.4331,21.05,43,40,3.6,CA,1689976655
101,soto la marina,23.7667,-98.2167,36.65,38,11,8.91,MX,1689976656
102,yauya,-8.9833,-77.3,16.9,34,23,3.65,PE,1689976656
103,celestun,20.8667,-90.4,29.13,74,86,5.88,MX,1689976656
104,yaroslavl,57.6299,39.8737,13.89,77,0,4.0,RU,1689976656
105,new norfolk,-42.7826,147.0587,5.95,92,48,1.13,AU,1689976657
106,kavieng,-2.5744,150.7967,28.07,76,84,3.91,PG,1689976287
107,mitsamiouli,-11.3847,43.2844,26.16,78,75,7.72,KM,1689976398
108,tiznit,29.5833,-9.5,25.64,49,0,0.89,MA,1689976432
109,haiku-pauwela,20.9219,-156.3051,29.01,55,20,8.75,US,1689976657
110,daru,-9.0763,143.2092,25.36,77,95,6.35,PG,1689976132
111,susuman,62.7833,148.1667,21.65,50,100,1.44,RU,1689976065
112,korla,41.7597,86.1469,31.03,23,100,6.35,CN,1689976366
113,shakawe,-18.3667,21.85,17.37,44,3,3.58,BW,1689976658
114,argo,37.6333,22.7333,28.21,41,0,1.29,GR,1689976614
115,puerto santa,-8.9906,-78.6456,21.74,77,50,5.51,PE,1689976658
116,dudinka,69.4058,86.1778,18.68,71,100,3.61,RU,1689976100
117,veraval,20.9,70.3667,27.51,86,100,6.61,IN,1689976063
118,val-d'or,48.1002,-77.7828,22.05,49,75,8.75,CA,1689976659
119,new plymouth,-39.0667,174.0833,12.12,75,47,6.66,NZ,1689976659
